stat,minutes_bucket,pred_bucket,n,mean_pred,mean_actual,mae,bias,rmse,beat_projection_rate,beat_baseline_rate
reb,25-30,7-8,25,6.887581867052367,7.56,2.7108654503846155,0.6724181329476334,3.3592470798433722,0.64,0.48
reb,25-30,9-10,16,8.92815104459045,9.375,2.926730349108135,0.44684895540954983,3.809139077311841,0.625,0.4375
reb,25-30,<=1,0,,,,,,,
reb,25-30,<=10,0,,,,,,,
reb,25-30,<=2,0,,,,,,,
reb,25-30,<=4,110,3.353609088534522,3.290909090909091,1.5101221801089688,-0.0626999976254311,1.9403325096764419,0.4727272727272727,0.5272727272727272
reb,31-36,11+,0,,,,,,,
reb,31-36,11-12,21,10.917979823531482,12.571428571428571,3.9976388159769205,1.6534487478970898,4.558522544670206,0.6190476190476191,0.5714285714285714
reb,31-36,11-15,0,,,,,,,
reb,31-36,13+,9,12.81110119029862,12.777777777777779,3.9134828227482124,-0.03332341252084229,5.085807370782666,0.3333333333333333,0.6666666666666666
reb,31-36,16-20,0,,,,,,,
reb,31-36,2,0,,,,,,,
reb,31-36,21-25,0,,,,,,,
reb,31-36,26-30,0,,,,,,,
reb,31-36,3,0,,,,,,,
reb,31-36,3-4,0,,,,,,,
reb,31-36,31+,0,,,,,,,
reb,31-36,4,0,,,,,,,
reb,31-36,5,0,,,,,,,
reb,31-36,5-6,144,5.0434528927349325,5.118055555555555,2.1618000928922116,0.0746026628206233,2.6720614911859566,0.4583333333333333,0.5138888888888888
reb,31-36,7-8,56,6.751933473373712,6.785714285714286,2.738624652927087,0.03378081234057314,3.2918090034672054,0.42857142857142855,0.35714285714285715
reb,31-36,9-10,19,8.987554446174284,9.526315789473685,2.7424872860939127,0.5387613432994006,4.018950315820563,0.5263157894736842,0.47368421052631576
reb,31-36,<=1,0,,,,,,,
reb,31-36,<=10,0,,,,,,,
reb,31-36,<=2,0,,,,,,,
reb,31-36,<=4,58,3.3382550237999062,3.0517241379310347,1.3526128700380824,-0.28653088586887177,1.6956087009548755,0.3793103448275862,0.5344827586206896
reb,37+,11+,0,,,,,,,
reb,37+,11-12,2,10.92858064403799,10.0,5.186148808478264,-0.9285806440379885,5.26862424890621,0.5,0.5
reb,37+,11-15,0,,,,,,,
